,Unnamed: 0,Id,Geography,City,Percentage: Public transportation (excluding taxicab),Percentage: Nonfamily household,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Percentage: Renter-occupied housing units,Renter Occupied Units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more, 3 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_home_price_distribution_2015,def_2
0,0,53033000100,"Census Tract 1, King County, Washington",Seattle,20,58,504.0,45.0,4454.0,44951,68,2319.0,26.2,410700,269,2170,405,0.58,2015,,-1.8999999999999986,-86600.0,EligibleForGentrification,false,NotCurrentlyGentrifying
1,1,53033000200,"Census Tract 2, King County, Washington",Seattle,17,42,473.0,52.7,5782.0,56208,46,1655.0,42.4,342400,97,1456,383,0.57,2015,,3.4000000000000057,-16300.0,EligibleForGentrification,false,NotCurrentlyGentrifying
2,2,53033000300,"Census Tract 3, King County, Washington",Seattle,22,45,147.0,33.1,1919.0,64297,44,479.0,37.0,336300,27,174,143,0.71,2015,,-4.899999999999999,-10200.0,EligibleForGentrification,false,NotCurrentlyGentrifying
3,3,53033000401,"Census Tract 4.01, King County, Washington",Seattle,14,65,177.0,39.4,4491.0,32472,70,2324.0,32.3,291400,88,2780,129,0.55,2015,,9.799999999999997,-50700.0,EligibleForGentrification,false,NotCurrentlyGentrifying
4,4,53033000402,"Census Tract 4.02, King County, Washington",Seattle,15,60,274.0,53.3,3542.0,62726,54,1251.0,45.5,405400,84,1044,410,0.77,2015,,12.5,18000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
5,5,53033000500,"Census Tract 5, King County, Washington",Seattle,10,24,243.0,70.8,2542.0,125400,5,63.0,0.0,568400,0,0,272,0.86,2015,,8.5,-27700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
6,6,53033000600,"Census Tract 6, King County, Washington",Seattle,18,46,513.0,46.0,5608.0,60131,48,1595.0,21.9,365000,68,1261,435,0.62,2015,,9.0,-1500.0,EligibleForGentrification,false,NotCurrentlyGentrifying
7,7,53033000700,"Census Tract 7, King County, Washington",Seattle,28,51,319.0,51.7,3505.0,51741,50,1087.0,28.0,323700,103,1054,222,0.57,2015,,-0.7999999999999972,-44100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
8,8,53033000800,"Census Tract 8, King County, Washington",Seattle,17,35,197.0,59.7,2270.0,87222,26,269.0,37.9,419900,0,64,175,0.83,2015,,10.800000000000004,15700.0,HaveGentrified,false,NotCurrentlyGentrifying
9,9,53033000900,"Census Tract 9, King County, Washington",Seattle,15,36,200.0,76.9,1523.0,125109,16,138.0,31.9,628400,0,19,171,0.82,2015,,8.100000000000009,-58200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
10,10,53033001000,"Census Tract 10, King County, Washington",Seattle,24,36,118.0,54.2,1100.0,69643,48,384.0,14.8,415500,23,207,115,0.55,2015,,-6.5,-8500.0,EligibleForGentrification,false,NotCurrentlyGentrifying
11,11,53033001100,"Census Tract 11, King County, Washington",Seattle,22,42,220.0,60.9,1885.0,64549,34,372.0,41.7,395500,8,209,189,0.69,2015,,-3.500000000000007,-36400.0,EligibleForGentrification,false,NotCurrentlyGentrifying
12,12,53033001200,"Census Tract 12, King County, Washington",Seattle,26,67,372.0,44.4,4300.0,31863,74,2645.0,29.5,311900,77,2713,235,0.6,2015,,3.6999999999999957,-3100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
13,13,53033001300,"Census Tract 13, King County, Washington",Seattle,19,54,276.0,52.8,3223.0,56744,56,1213.0,26.8,306300,27,1026,215,0.6,2015,,16.099999999999994,-50400.0,EligibleForGentrification,false,NotCurrentlyGentrifying
14,14,53033001400,"Census Tract 14, King County, Washington",Seattle,14,38,441.0,54.4,3667.0,72428,42,919.0,32.3,414100,78,513,495,0.79,2015,,13.600000000000001,3800.0,EligibleForGentrification,false,NotCurrentlyGentrifying
15,15,53033001500,"Census Tract 15, King County, Washington",Seattle,13,45,177.0,69.9,1935.0,95927,21,237.0,15.2,585200,28,61,212,0.92,2015,,7.200000000000003,-9000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
16,16,53033001600,"Census Tract 16, King County, Washington",Seattle,14,38,362.0,61.4,3172.0,96193,22,380.0,16.3,657200,31,225,406,0.82,2015,,5.199999999999996,64600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
17,17,53033001701,"Census Tract 17.01, King County, Washington",Seattle,21,59,323.0,59.6,2816.0,65188,56,1105.0,14.1,313500,40,1080,175,0.67,2015,,-0.5,-34400.0,EligibleForGentrification,false,NotCurrentlyGentrifying
18,18,53033001702,"Census Tract 17.02, King County, Washington",Seattle,29,60,311.0,49.3,3784.0,62786,46,954.0,32.2,378700,37,682,250,0.75,2015,,11.699999999999996,1300.0,EligibleForGentrification,false,NotCurrentlyGentrifying
19,19,53033001800,"Census Tract 18, King County, Washington",Seattle,23,56,335.0,59.4,3120.0,87159,50,1122.0,18.8,370200,387,465,315,0.7,2015,,-6.800000000000004,-6600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
20,20,53033001900,"Census Tract 19, King County, Washington",Seattle,19,59,283.0,54.4,2747.0,61391,42,907.0,38.0,374700,17,913,238,0.69,2015,,-2.1000000000000014,-29000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
21,21,53033002000,"Census Tract 20, King County, Washington",Seattle,14,49,316.0,64.9,2519.0,80400,42,667.0,40.6,442200,0,453,225,0.84,2015,,-1.1999999999999886,19500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
22,22,53033002100,"Census Tract 21, King County, Washington",Seattle,15,43,359.0,66.2,2606.0,85759,31,530.0,34.9,448500,56,280,286,0.75,2015,,-1.0,16300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
23,23,53033002200,"Census Tract 22, King County, Washington",Seattle,16,25,696.0,74.1,3924.0,132981,8,163.0,46.6,569900,0,199,335,0.79,2015,,3.5999999999999943,-42100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
24,24,53033002400,"Census Tract 24, King County, Washington",Seattle,18,36,279.0,66.7,2061.0,103917,29,358.0,35.2,470600,52,102,214,0.8,2015,,-8.799999999999997,-28900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
25,25,53033002500,"Census Tract 25, King County, Washington",Seattle,19,44,329.0,70.5,2144.0,101413,27,342.0,30.1,457000,58,126,179,0.87,2015,,-5.299999999999997,-21700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
26,26,53033002600,"Census Tract 26, King County, Washington",Seattle,22,41,486.0,71.1,3253.0,91458,34,661.0,50.6,546400,33,363,275,0.81,2015,,-4.1000000000000085,28200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
27,27,53033002700,"Census Tract 27, King County, Washington",Seattle,24,43,518.0,69.9,3769.0,111661,32,750.0,21.5,538300,22,241,365,0.77,2015,,-2.5,-2200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
28,28,53033002800,"Census Tract 28, King County, Washington",Seattle,22,46,509.0,72.3,3199.0,90568,42,852.0,49.6,510400,195,499,265,0.85,2015,,1.5999999999999943,45600.0,NotEligibleForGentrification,true,HaveGentrified
29,29,53033002900,"Census Tract 29, King County, Washington",Seattle,17,44,496.0,69.6,3200.0,103750,35,653.0,29.0,492300,63,270,221,0.89,2015,,2.799999999999997,22900.0,NotEligibleForGentrification,true,HaveGentrified
30,30,53033003000,"Census Tract 30, King County, Washington",Seattle,18,46,569.0,65.9,4140.0,90789,35,848.0,32.3,496900,61,281,350,0.85,2015,,3.1000000000000085,32600.0,NotEligibleForGentrification,true,HaveGentrified
31,31,53033003100,"Census Tract 31, King County, Washington",Seattle,17,37,660.0,66.2,4619.0,101397,21,536.0,34.8,497100,0,203,373,0.88,2015,,2.6000000000000014,-15200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
32,32,53033003200,"Census Tract 32, King County, Washington",Seattle,17,55,711.0,70.2,5959.0,79681,49,1938.0,21.2,568000,210,1448,420,0.85,2015,,12.200000000000003,18900.0,HaveGentrified,false,NotCurrentlyGentrifying
33,33,53033003300,"Census Tract 33, King County, Washington",Seattle,18,50,469.0,67.5,4713.0,85595,55,1742.0,24.6,452200,287,979,294,0.85,2015,,12.299999999999997,-11000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
34,34,53033003400,"Census Tract 34, King County, Washington",Seattle,12,36,355.0,76.9,2539.0,97500,35,531.0,33.8,533300,191,84,198,0.86,2015,,12.900000000000006,-5900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
35,35,53033003500,"Census Tract 35, King County, Washington",Seattle,19,51,377.0,69.1,3095.0,81563,45,822.0,25.5,571000,58,582,210,0.82,2015,,1.6999999999999886,-27300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
36,36,53033003600,"Census Tract 36, King County, Washington",Seattle,29,77,265.0,79.1,4213.0,65172,73,2344.0,38.9,581800,95,1913,325,0.76,2015,,10.0,90500.0,HaveGentrified,false,NotCurrentlyGentrifying
37,37,53033003800,"Census Tract 38, King County, Washington",Seattle,19,43,216.0,68.9,1463.0,96310,29,247.0,33.7,543100,23,169,121,0.77,2015,,-4.199999999999989,-11400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
38,38,53033003900,"Census Tract 39, King County, Washington",Seattle,8,31,378.0,68.7,1878.0,110458,26,303.0,20.8,573700,0,137,259,0.82,2015,,2.4000000000000057,28400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
39,39,53033004000,"Census Tract 40, King County, Washington",Seattle,16,43,285.0,78.2,2156.0,75714,36,481.0,20.1,663500,7,695,197,0.73,2015,,10.0,90600.0,HaveGentrified,false,NotCurrentlyGentrifying
40,40,53033004100,"Census Tract 41, King County, Washington",Seattle,10,26,888.0,81.1,5124.0,132917,34,979.0,26.1,932600,230,427,640,0.82,2015,,-4.400000000000006,7600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
41,41,53033004200,"Census Tract 42, King County, Washington",Seattle,14,37,1010.0,80.4,5526.0,110091,25,802.0,33.0,623600,97,439,427,0.81,2015,,-0.19999999999998863,35700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
42,42,53033004301,"Census Tract 43.01, King County, Washington",Seattle,22,51,326.0,77.2,2238.0,64797,46,643.0,50.5,579400,5,531,119,0.7,2015,,2.0,79400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
43,43,53033004400,"Census Tract 44, King County, Washington",Seattle,27,73,221.0,78.4,2687.0,50500,75,1322.0,25.4,592800,235,1317,346,0.76,2015,,3.5,-34700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
44,44,53033004500,"Census Tract 45, King County, Washington",Seattle,29,51,192.0,70.8,1980.0,88914,38,1787.0,23.4,504100,27,33,201,0.79,2015,,1.2000000000000028,-28300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
45,45,53033004600,"Census Tract 46, King County, Washington",Seattle,16,38,353.0,80.1,2321.0,113906,32,390.0,20.2,643200,63,135,187,0.84,2015,,4.599999999999994,27600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
46,46,53033004700,"Census Tract 47, King County, Washington",Seattle,22,68,392.0,64.7,4768.0,72396,79,451.0,28.0,427200,286,3947,23,0.82,2015,,8.600000000000001,72300.0,EligibleForGentrification,false,NotCurrentlyGentrifying
47,47,53033004800,"Census Tract 48, King County, Washington",Seattle,21,54,338.0,72.8,3544.0,93155,42,3908.0,10.7,535100,220,352,427,0.89,2015,,9.199999999999996,40500.0,HaveGentrified,false,NotCurrentlyGentrifying
48,48,53033004900,"Census Tract 49, King County, Washington",Seattle,33,69,280.0,77.4,4751.0,71809,77,898.0,27.9,510500,231,2119,249,0.82,2015,,1.8000000000000114,26600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
49,49,53033005000,"Census Tract 50, King County, Washington",Seattle,27,63,191.0,77.4,3302.0,65625,71,2775.0,37.7,562300,166,1155,102,0.86,2015,,21.10000000000001,800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
50,50,53033005100,"Census Tract 51, King County, Washington",Seattle,16,44,315.0,77.4,2701.0,99083,36,1345.0,34.1,649000,95,269,183,0.82,2015,,-0.7999999999999972,8500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
51,51,53033005200,"Census Tract 52, King County, Washington",Seattle,28,74,229.0,69.0,2801.0,38487,76,591.0,21.7,450500,167,1979,187,0.57,2015,,-0.4000000000000057,4800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
52,52,53033005301,"Census Tract 53.01, King County, Washington",Seattle,35,89,9.0,47.5,2054.0,12269,97,2170.0,20.4,145000,61,2708,81,0.51,2015,,-17.700000000000003,-80000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
53,53,53033005400,"Census Tract 54, King County, Washington",Seattle,23,67,269.0,78.8,3323.0,84728,54,2592.0,28.9,460400,269,1178,185,0.8,2015,,0.09999999999999432,-11500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
54,54,53033005600,"Census Tract 56, King County, Washington",Seattle,10,24,789.0,76.9,4739.0,157292,8,122.0,22.5,714400,0,0,483,0.87,2015,,1.1000000000000085,-90400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
55,55,53033005700,"Census Tract 57, King County, Washington",Seattle,15,39,620.0,67.5,4523.0,90951,37,1507.0,27.3,605300,100,551,456,0.83,2015,,-2.5999999999999943,13000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
56,56,53033005801,"Census Tract 58.01, King County, Washington",Seattle,18,65,277.0,55.8,3878.0,66563,60,201.0,37.2,459200,162,1513,194,0.72,2015,,-4.800000000000004,50600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
57,57,53033005802,"Census Tract 58.02, King County, Washington",Seattle,17,69,232.0,68.2,3623.0,62639,63,1004.0,27.8,470700,365,1522,194,0.74,2015,,6.300000000000004,-37300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
58,58,53033005900,"Census Tract 59, King County, Washington",Seattle,7,47,444.0,77.5,4113.0,87667,43,1567.0,40.5,671100,120,725,370,0.81,2015,,13.400000000000006,38400.0,HaveGentrified,false,NotCurrentlyGentrifying
59,59,53033006000,"Census Tract 60, King County, Washington",Seattle,24,59,366.0,73.4,3718.0,96538,47,1695.0,32.0,576500,269,1035,262,0.85,2015,,3.0,-74100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
60,60,53033006100,"Census Tract 61, King County, Washington",Seattle,21,65,244.0,78.6,3938.0,76980,62,1137.0,31.8,637800,290,1478,181,0.81,2015,,8.399999999999991,19700.0,HaveGentrified,false,NotCurrentlyGentrifying
61,61,53033006200,"Census Tract 62, King County, Washington",Seattle,21,30,359.0,83.9,2992.0,131429,20,1183.0,21.8,772800,10,150,201,0.83,2015,,4.6000000000000085,-18900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
62,62,53033006300,"Census Tract 63, King County, Washington",Seattle,11,46,427.0,78.6,4020.0,132000,39,1822.0,21.6,1050700,112,1151,298,0.84,2015,,-0.8000000000000114,86400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
63,63,53033006400,"Census Tract 64, King County, Washington",Seattle,14,35,395.0,83.1,2421.0,154868,22,312.0,21.5,879600,23,99,158,0.87,2015,,9.0,38100.0,HaveGentrified,false,NotCurrentlyGentrifying
64,64,53033006500,"Census Tract 65, King County, Washington",Seattle,15,63,276.0,73.6,3197.0,98617,57,960.0,20.8,833600,190,1246,154,0.9,2015,,-0.30000000000001137,68400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
65,65,53033006600,"Census Tract 66, King County, Washington",Seattle,26,73,95.0,75.1,2692.0,82154,81,289.0,28.0,472900,304,1659,0,0.75,2015,,6.5,-77700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
66,66,53033006700,"Census Tract 67, King County, Washington",Seattle,21,69,389.0,72.5,5440.0,88719,69,1387.0,23.8,401300,257,3660,126,0.69,2015,,3.799999999999997,-30200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
67,67,53033006800,"Census Tract 68, King County, Washington",Seattle,15,50,367.0,77.4,1987.0,98750,53,1753.0,21.1,766200,161,545,150,0.85,2015,,-1.5999999999999943,40500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
68,68,53033006900,"Census Tract 69, King County, Washington",Seattle,17,50,474.0,73.6,2943.0,100172,47,2950.0,33.6,717300,284,783,166,0.87,2015,,6.8999999999999915,72400.0,HaveGentrified,false,NotCurrentlyGentrifying
69,69,53033007000,"Census Tract 70, King County, Washington",Seattle,28,76,144.0,66.6,5872.0,67572,73,740.0,24.1,402000,48,4775,111,0.77,2015,,-3.4000000000000057,14900.0,EligibleForGentrification,false,NotCurrentlyGentrifying
70,70,53033007100,"Census Tract 71, King County, Washington",Seattle,24,78,97.0,69.4,2171.0,74143,81,1021.0,24.4,285100,92,2495,7,0.73,2015,,6.1000000000000085,-23900.0,EligibleForGentrification,false,NotCurrentlyGentrifying
71,71,53033007200,"Census Tract 72, King County, Washington",Seattle,23,80,134.0,68.0,3093.0,74559,88,3727.0,21.1,367200,0,5148,79,0.58,2015,,9.299999999999997,5500.0,EligibleForGentrification,false,NotCurrentlyGentrifying
72,72,53033007300,"Census Tract 73, King County, Washington",Seattle,15,80,64.0,60.2,2832.0,76582,88,2025.0,21.7,464700,16,4165,0,0.66,2015,,14.300000000000004,88900.0,HaveGentrified,true,HaveGentrified
73,73,53033007401,"Census Tract 74.01, King County, Washington",Seattle,28,82,33.0,68.9,3260.0,67834,77,4251.0,18.2,263400,39,3360,52,0.73,2015,,6.000000000000007,-40400.0,EligibleForGentrification,false,NotCurrentlyGentrifying
74,74,53033007402,"Census Tract 74.02, King County, Washington",Seattle,28,90,80.0,57.7,4053.0,41842,79,3322.0,37.9,281300,51,3554,58,0.66,2015,,8.300000000000004,-29500.0,EligibleForGentrification,false,NotCurrentlyGentrifying
75,75,53033007500,"Census Tract 75, King County, Washington",Seattle,27,77,300.0,67.0,4960.0,63419,81,2693.0,28.4,483000,289,3750,0,0.68,2015,,2.0999999999999943,82200.0,NotEligibleForGentrification,true,HaveGentrified
76,76,53033007600,"Census Tract 76, King County, Washington",Seattle,34,70,197.0,70.9,2894.0,68199,66,2715.0,27.9,471900,145,1230,70,0.73,2015,,7.300000000000004,31600.0,HaveGentrified,true,HaveGentrified
77,77,53033007700,"Census Tract 77, King County, Washington",Seattle,29,52,368.0,65.1,2977.0,104632,45,3970.0,32.9,431000,96,600,241,0.71,2015,,1.3999999999999915,-40200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
78,78,53033007800,"Census Tract 78, King County, Washington",Seattle,17,33,550.0,79.1,3972.0,137358,24,1320.0,27.8,740300,29,160,259,0.67,2015,,-2.1000000000000085,-100500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
79,79,53033007900,"Census Tract 79, King County, Washington",Seattle,26,74,139.0,66.7,3999.0,57786,68,1008.0,22.0,403400,112,2116,161,0.72,2015,,12.0,36100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
80,80,53033008001,"Census Tract 80.01, King County, Washington",Seattle,16,72,252.0,67.0,4334.0,88068,73,530.0,15.8,378400,0,4175,38,0.65,2015,,-2.0,-32500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
81,81,53033008002,"Census Tract 80.02, King County, Washington",Seattle,15,81,47.0,50.4,2327.0,37466,81,2122.0,12.6,463600,0,2421,16,0.7,2015,,-7.399999999999999,-226800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
82,82,53033008100,"Census Tract 81, King County, Washington",Seattle,18,71,61.0,52.2,3981.0,75531,80,2907.0,19.7,598600,0,3251,0,0.64,2015,,4.300000000000004,116200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
83,83,53033008200,"Census Tract 82, King County, Washington",Seattle,18,77,46.0,66.9,2551.0,56318,86,1825.0,17.1,503600,17,2810,6,0.64,2015,,7.6000000000000085,212200.0,HaveGentrified,true,HaveGentrified
84,84,53033008300,"Census Tract 83, King County, Washington",Seattle,17,82,6.0,56.5,2263.0,49291,77,1972.0,35.5,315700,16,2012,15,0.75,2015,,0.3999999999999986,-182100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
85,85,53033008400,"Census Tract 84, King County, Washington",Seattle,31,82,58.0,62.2,3194.0,42339,89,2206.0,25.9,364700,15,3112,8,0.72,2015,,8.800000000000004,-1800.0,EligibleForGentrification,false,NotCurrentlyGentrifying
86,86,53033008500,"Census Tract 85, King County, Washington",Seattle,22,76,10.0,30.5,3051.0,29883,89,1529.0,26.2,325800,91,1841,11,0.48,2015,,15.4,34700.0,EligibleForGentrification,false,NotCurrentlyGentrifying
87,87,53033008600,"Census Tract 86, King County, Washington",Seattle,20,81,27.0,65.2,1969.0,43375,80,2649.0,27.1,398800,269,1419,80,0.59,2015,,17.6,17200.0,EligibleForGentrification,false,NotCurrentlyGentrifying
88,88,53033008700,"Census Tract 87, King County, Washington",Seattle,21,62,146.0,49.6,2876.0,56700,64,1670.0,32.9,403500,170,697,190,0.5,2015,,1.8000000000000043,-59700.0,EligibleForGentrification,false,NotCurrentlyGentrifying
89,89,53033008800,"Census Tract 88, King County, Washington",Seattle,30,49,289.0,59.1,2447.0,76524,49,1501.0,28.6,483100,83,270,121,0.62,2015,,10.600000000000001,71300.0,HaveGentrified,true,HaveGentrified
90,90,53033008900,"Census Tract 89, King County, Washington",Seattle,12,49,326.0,59.1,3672.0,79953,51,1147.0,23.9,483200,133,602,201,0.48,2015,,6.200000000000003,7100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
91,91,53033009000,"Census Tract 90, King County, Washington",Seattle,25,67,195.0,43.1,1924.0,44571,72,737.0,25.0,302100,125,1126,42,0.38,2015,,9.300000000000004,-40000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
92,92,53033009100,"Census Tract 91, King County, Washington",Seattle,47,67,130.0,24.4,1809.0,29464,93,1056.0,21.3,251400,70,1375,8,0.16,2015,,4.699999999999999,-109500.0,EligibleForGentrification,false,NotCurrentlyGentrifying
93,93,53033009200,"Census Tract 92, King County, Washington",Seattle,33,83,95.0,34.9,2019.0,25625,96,1256.0,18.0,353600,0,1863,9,0.48,2015,,8.0,33600.0,EligibleForGentrification,false,NotCurrentlyGentrifying
94,94,53033009300,"Census Tract 93, King County, Washington",Seattle,26,60,98.0,43.4,1757.0,70458,48,1325.0,27.2,347500,18,698,120,0.47,2015,,2.299999999999997,-44200.0,EligibleForGentrification,false,NotCurrentlyGentrifying
95,95,53033009400,"Census Tract 94, King County, Washington",Seattle,23,44,335.0,40.6,3984.0,47737,59,1658.0,16.2,359500,565,728,245,0.32,2015,,5.0,56100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
96,96,53033009500,"Census Tract 95, King County, Washington",Seattle,18,44,441.0,58.4,4018.0,81676,30,512.0,17.6,503600,47,324,217,0.62,2015,,3.299999999999997,-20800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
97,97,53033009600,"Census Tract 96, King County, Washington",Seattle,12,53,411.0,60.5,4647.0,77808,49,1497.0,20.7,621100,344,1131,351,0.81,2015,,4.799999999999997,11700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
98,98,53033009701,"Census Tract 97.01, King County, Washington",Seattle,15,52,371.0,64.6,4578.0,82333,48,783.0,36.8,618400,199,1146,280,0.84,2015,,4.799999999999997,-21400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
99,99,53033009702,"Census Tract 97.02, King County, Washington",Seattle,16,32,606.0,64.9,3780.0,106319,15,1341.0,48.6,457500,47,161,373,0.86,2015,,6.1000000000000085,1700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
100,100,53033009800,"Census Tract 98, King County, Washington",Seattle,13,40,690.0,58.8,4689.0,71705,35,1402.0,17.2,459700,34,669,336,0.84,2015,,2.0,-22300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
101,101,53033009900,"Census Tract 99, King County, Washington",Seattle,23,55,306.0,59.1,4023.0,67277,43,345.0,23.6,331700,91,1070,244,0.65,2015,,7.899999999999999,-82600.0,EligibleForGentrification,false,NotCurrentlyGentrifying
102,102,53033010001,"Census Tract 100.01, King County, Washington",Seattle,20,31,243.0,35.8,2714.0,51316,49,1062.0,34.0,367200,18,393,159,0.31,2015,,3.9999999999999964,-18000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
103,103,53033010002,"Census Tract 100.02, King County, Washington",Seattle,32,45,324.0,39.6,3243.0,66458,54,1111.0,29.6,383700,33,605,346,0.36,2015,,5.200000000000003,13800.0,EligibleForGentrification,false,NotCurrentlyGentrifying
104,104,53033010100,"Census Tract 101, King County, Washington",Seattle,13,49,489.0,47.3,4471.0,59275,43,743.0,32.5,450500,50,716,245,0.43,2015,,5.5,63700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
105,105,53033010200,"Census Tract 102, King County, Washington",Seattle,12,41,373.0,59.8,3563.0,84324,23,949.0,29.3,445000,0,99,308,0.62,2015,,7.299999999999997,-16800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
106,106,53033010300,"Census Tract 103, King County, Washington",Seattle,17,48,330.0,34.6,4294.0,57750,51,1200.0,20.2,356900,170,885,442,0.38,2015,,-1.1000000000000014,-5200.0,EligibleForGentrification,false,NotCurrentlyGentrifying
